grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat
7,1180,0,1955-01-01,0,98178,47.5112
7,2170,400,1951-01-01,1991,98125,47.721
6,770,0,1933-01-01,0,98028,47.7379
7,1050,910,1965-01-01,0,98136,47.5208
8,1680,0,1987-01-01,0,98074,47.6168
11,3890,1530,2001-01-01,0,98053,47.6561
7,1715,0,1995-01-01,0,98003,47.3097
7,1060,0,1963-01-01,0,98198,47.4095
7,1050,730,1960-01-01,0,98146,47.5123
7,1890,0,2003-01-01,0,98038,47.3684
8,1860,1700,1965-01-01,0,98007,47.6007
7,860,300,1942-01-01,0,98115,47.69
7,1430,0,1927-01-01,0,98028,47.7558
7,1370,0,1977-01-01,0,98074,47.6127
7,1810,0,1900-01-01,0,98107,47.67
9,1980,970,1979-01-01,0,98126,47.5714
7,1890,0,1994-01-01,0,98019,47.7277
7,1600,0,1916-01-01,0,98103,47.6648
7,1200,0,1921-01-01,0,98002,47.3089
7,1250,0,1969-01-01,0,98003,47.3343
7,860,760,1947-01-01,0,98133,47.7025
9,2330,720,1968-01-01,0,98040,47.5316
8,2270,0,1995-01-01,0,98092,47.3266
7,1070,0,1985-01-01,0,98030,47.3533
8,2450,0,1985-01-01,0,98030,47.3739
6,1710,0,1941-01-01,0,98002,47.3048
8,1750,700,1915-01-01,0,98119,47.6386
8,1400,0,1909-01-01,0,98112,47.6221
7,790,730,1948-01-01,0,98115,47.695
8,2570,0,2005-01-01,0,98052,47.7073
8,2320,0,2003-01-01,0,98027,47.5391
7,1190,0,2005-01-01,0,98133,47.7274
7,1510,820,1929-01-01,0,98117,47.6823
8,1090,0,1929-01-01,0,98117,47.6889
7,1280,780,1981-01-01,0,98058,47.4276
8,1510,790,1930-01-01,2002,98115,47.6827
5,930,730,1933-01-01,0,98052,47.6621
8,2360,0,1904-01-01,0,98107,47.6702
7,890,330,1969-01-01,0,98001,47.3341
8,2620,0,1996-01-01,0,98056,47.5301
9,2570,0,2000-01-01,0,98074,47.6145
8,2600,1620,1984-01-01,0,98166,47.445
9,3595,0,2014-01-01,0,98053,47.6848
7,1570,0,1922-01-01,0,98119,47.6413
6,920,360,1959-01-01,0,98058,47.4485
8,3160,0,2003-01-01,0,98019,47.7443
6,990,0,1966-01-01,0,98023,47.3066
9,2290,0,1981-01-01,0,98007,47.6194
7,1250,0,1953-01-01,0,98115,47.6796
9,2165,588,1953-01-01,0,98070,47.4041
7,1190,0,1955-01-01,0,98148,47.4258
8,1640,1510,1966-01-01,0,98056,47.4934
7,1000,410,1950-01-01,0,98117,47.6808
7,990,990,1981-01-01,0,98117,47.6989
8,2130,600,1927-01-01,0,98105,47.6571
9,2830,0,1995-01-01,0,98105,47.6597
7,2250,0,2008-01-01,0,98042,47.3663
8,2420,0,2003-01-01,0,98042,47.3663
8,3250,0,1968-01-01,0,98008,47.588
8,1850,0,1991-01-01,0,98059,47.5059
8,1590,560,1959-01-01,0,98166,47.4336
7,1260,0,1954-01-01,0,98148,47.4366
8,2519,0,1973-01-01,0,98166,47.4428
8,1540,0,2014-01-01,0,98115,47.6765
7,1110,550,1979-01-01,0,98122,47.6113
7,1770,1000,1925-01-01,0,98144,47.5747
10,2720,0,1989-01-01,0,98004,47.5815
7,2240,0,2005-01-01,0,98001,47.3378
7,1000,0,1968-01-01,0,98042,47.3621
8,1600,1600,1965-01-01,0,98004,47.6303
11,3070,1700,1973-01-01,0,98005,47.6525
7,1260,0,1972-01-01,0,98034,47.7362
7,2250,500,1916-01-01,0,98125,47.7168
8,2380,0,2005-01-01,0,98038,47.3608
7,1090,700,1965-01-01,0,98042,47.3511
10,2390,1040,1986-01-01,0,98075,47.5822
7,880,880,1956-01-01,0,98008,47.6034
7,1040,0,1941-01-01,0,98116,47.5636
7,910,500,1956-01-01,0,98133,47.7073
10,3450,0,2002-01-01,0,98010,47.342
8,2350,0,2003-01-01,0,98038,47.3512
7,1900,0,1992-01-01,0,98038,47.349
7,1010,1010,1948-01-01,0,98118,47.5474
8,1680,0,1964-01-01,0,98059,47.4811
6,960,0,1952-01-01,0,98125,47.7264
9,1900,240,1925-01-01,0,98119,47.6337
7,2660,0,1961-01-01,0,98092,47.2909
9,1980,790,2006-01-01,0,98056,47.5228
7,1610,0,1979-01-01,0,98056,47.518
7,765,265,2006-01-01,0,98136,47.5394
7,1980,0,1988-01-01,0,98023,47.2897
10,3520,0,2001-01-01,0,98199,47.6506
7,1200,0,1962-01-01,0,98023,47.322
8,1290,290,1939-01-01,0,98117,47.687
8,1290,290,1939-01-01,0,98117,47.687
7,2390,910,1946-01-01,1991,98040,47.5873
7,1960,0,1967-01-01,0,98032,47.3576
7,1160,0,1975-01-01,0,98023,47.3036
7,1210,600,1980-01-01,0,98038,47.4109
9,2320,0,1992-01-01,0,98045,47.4838
9,1270,800,1910-01-01,0,98102,47.6415
7,1440,540,1929-01-01,0,98117,47.6775
8,2190,0,1983-01-01,0,98077,47.7731
8,2920,0,1950-01-01,2010,98004,47.5814
7,1210,0,1954-01-01,0,98058,47.4375
8,1460,880,1978-01-01,0,98058,47.4431
7,1170,500,1939-01-01,0,98117,47.6878
8,1240,0,1985-01-01,0,98198,47.3813
10,3140,0,1991-01-01,0,98077,47.7304
7,2030,0,1942-01-01,0,98052,47.6417
8,2310,0,1984-01-01,0,98027,47.5386
6,700,560,1905-01-01,0,98103,47.6823
7,1160,380,1980-01-01,0,98038,47.3624
7,1080,1000,1971-01-01,0,98108,47.5474
9,2520,710,2001-01-01,0,98001,47.3183
8,2780,1600,1900-01-01,1999,98117,47.6981
8,1590,0,2010-01-01,0,98103,47.6824
6,880,0,1945-01-01,0,98178,47.5009
6,1570,0,1950-01-01,0,98168,47.4965
7,1610,0,1925-01-01,0,98144,47.587
8,1560,840,1964-01-01,0,98177,47.7728
7,1450,0,1987-01-01,0,98034,47.7288
6,770,0,1953-01-01,0,98117,47.6999
7,1720,380,1924-01-01,0,98118,47.5299
9,2910,0,1990-01-01,0,98052,47.6897
8,1980,770,1914-01-01,1992,98004,47.6141
8,1620,480,1967-01-01,0,98178,47.5091
8,1360,800,1978-01-01,0,98023,47.3129
7,1720,600,1926-01-01,0,98103,47.6763
7,2070,0,2004-01-01,0,98065,47.5319
7,1060,0,1986-01-01,0,98092,47.2761
8,1440,570,1986-01-01,0,98027,47.5343
9,2460,1490,1989-01-01,0,98052,47.697
8,1390,620,2014-01-01,0,98029,47.5517
9,2140,0,2005-01-01,0,98107,47.6734
7,1320,0,1956-01-01,0,98003,47.3257
7,1010,1010,1968-01-01,0,98003,47.3309
8,1340,1250,1968-01-01,0,98028,47.7689
6,1190,0,1981-01-01,0,98125,47.7135
8,1170,0,2014-01-01,0,98107,47.6722
7,1110,0,1925-01-01,0,98119,47.6338
8,1550,1270,1968-01-01,0,98006,47.5707
7,1010,600,1962-01-01,0,98058,47.4563
7,940,120,1923-01-01,0,98133,47.7144
8,1380,650,1961-01-01,0,98006,47.5495
9,3670,0,1994-01-01,0,98077,47.7421
8,2370,180,1905-01-01,0,98109,47.6354
7,2420,0,2007-01-01,0,98027,47.5262
8,1130,1130,1960-01-01,0,98032,47.3887
7,980,450,1947-01-01,0,98103,47.6873
8,1360,0,1990-01-01,0,98103,47.6838
7,1110,0,1947-01-01,0,98107,47.655
7,1250,0,1954-01-01,0,98003,47.3255
12,3540,1640,2006-01-01,0,98006,47.562
7,700,0,1942-01-01,0,98115,47.679
7,1180,0,1967-01-01,0,98058,47.4479
9,2500,1460,1996-01-01,0,98056,47.525
8,1620,1020,1967-01-01,0,98023,47.3135
7,1270,0,1916-01-01,2013,98022,47.2086
8,1760,0,1968-01-01,0,98059,47.4715
7,1030,1030,1962-01-01,0,98146,47.4877
7,1780,0,1962-01-01,0,98034,47.7171
10,3400,0,2000-01-01,0,98075,47.6012
7,1160,750,1979-01-01,0,98034,47.7319
7,1010,1010,1975-01-01,0,98027,47.4582
7,1180,400,1976-01-01,0,98034,47.7209
5,700,640,1949-01-01,0,98198,47.408
9,2680,0,1999-01-01,0,98006,47.565
8,1610,1070,1979-01-01,0,98034,47.7028
7,1370,0,1964-01-01,0,98133,47.7458
7,1560,0,1954-01-01,0,98166,47.4776
7,1670,490,1978-01-01,0,98023,47.3026
7,1340,0,1955-01-01,0,98133,47.7658
10,2570,1310,1984-01-01,0,98033,47.6477
8,2590,0,1980-01-01,0,98006,47.5619
8,820,300,2008-01-01,0,98122,47.6106
7,1320,650,1986-01-01,0,98144,47.5868
6,1220,0,1901-01-01,0,98122,47.6101
7,1320,630,1975-01-01,0,98022,47.1976
7,1060,290,1949-01-01,0,98177,47.7224
7,1670,0,1988-01-01,0,98030,47.3505
7,1680,700,1925-01-01,0,98126,47.5384
7,2440,0,1961-01-01,0,98034,47.7044
7,1050,0,1996-01-01,0,98038,47.3848
9,2140,990,1993-01-01,0,98052,47.6993
10,2090,2000,1986-01-01,0,98033,47.6627
8,1100,390,1969-01-01,0,98023,47.3099
8,1900,0,1987-01-01,0,98074,47.62
6,1330,0,1901-01-01,0,98103,47.65
8,1430,800,1975-01-01,0,98052,47.6647
7,1220,430,1977-01-01,0,98034,47.726
6,1190,0,1959-01-01,0,98058,47.4616
8,2140,0,1959-01-01,0,98040,47.5505
7,1420,760,1962-01-01,0,98133,47.7606
7,1060,0,1948-01-01,0,98155,47.7481
8,1690,0,2003-01-01,0,98023,47.2779
7,1130,840,1920-01-01,0,98108,47.5511
8,2150,0,2007-01-01,0,98126,47.5488
7,1910,0,1997-01-01,0,98024,47.5385
7,1350,0,1969-01-01,0,98038,47.4058
6,860,0,1943-01-01,0,98056,47.5093
8,1940,0,1994-01-01,0,98042,47.3777
7,1010,0,1952-01-01,0,98107,47.675
7,900,400,1976-01-01,0,98023,47.3025
6,910,0,1962-01-01,0,98059,47.4787
9,1630,850,1966-01-01,0,98040,47.5378
8,2440,0,2010-01-01,0,98052,47.7073
7,1010,0,1915-01-01,0,98116,47.5733
6,900,0,1941-01-01,0,98166,47.4604
7,1600,700,1920-01-01,1994,98133,47.7067
8,1550,0,1993-01-01,0,98038,47.354
8,1060,210,2014-01-01,0,98105,47.6647
9,2240,0,1983-01-01,0,98074,47.6143
9,2714,0,2005-01-01,0,98001,47.3185
8,1720,0,1978-01-01,0,98118,47.5458
6,850,0,1923-01-01,0,98168,47.4889
9,1870,1430,1957-01-01,1991,98040,47.5673
8,2250,0,2000-01-01,0,98146,47.5133
8,1950,1950,1947-01-01,0,98144,47.5884
8,1320,0,1947-01-01,0,98177,47.7145
10,2760,0,1999-01-01,0,98075,47.5836
7,1350,400,1961-01-01,0,98198,47.398
8,2330,0,1987-01-01,0,98011,47.7663
8,1780,440,1966-01-01,0,98030,47.3758
7,2020,0,1994-01-01,0,98038,47.3828
7,1250,0,1942-01-01,0,98146,47.5123
8,1510,0,2005-01-01,0,98053,47.7076
7,1120,600,1978-01-01,0,98023,47.2922
7,980,450,1961-01-01,0,98031,47.4075
7,1480,0,2004-01-01,0,98053,47.6794
7,1230,220,1915-01-01,1978,98166,47.4497
7,2280,0,1960-01-01,0,98059,47.5218
8,1780,1160,1978-01-01,0,98023,47.3103
6,1000,0,1961-01-01,0,98024,47.5687
7,1620,860,1947-01-01,0,98108,47.5575
10,3760,0,1983-01-01,0,98033,47.6489
7,1640,580,1976-01-01,0,98010,47.3459
7,1670,300,1904-01-01,2005,98122,47.6136
10,3530,300,1993-01-01,0,98077,47.7641
9,2350,2060,1965-01-01,0,98003,47.3376
7,1430,0,1968-01-01,0,98003,47.3173
6,830,0,1940-01-01,0,98126,47.5308
7,1430,0,1925-01-01,0,98115,47.6727
6,1300,0,1954-01-01,0,98002,47.3221
7,790,240,1918-01-01,0,98103,47.6779
9,2740,0,1990-01-01,0,98023,47.3076
9,1830,1820,2000-01-01,0,98074,47.6338
6,720,0,1954-01-01,0,98106,47.5218
7,2010,0,1976-01-01,0,98002,47.2785
6,770,790,1918-01-01,0,98103,47.6846
7,1240,570,1978-01-01,0,98032,47.3656
9,3360,0,2001-01-01,0,98058,47.4369
8,1510,0,1991-01-01,0,98045,47.4616
7,800,600,1953-01-01,0,98118,47.5405
7,1730,0,1987-01-01,0,98030,47.3507
7,1420,0,1928-01-01,0,98115,47.6979
7,1180,1180,1955-01-01,0,98106,47.5278
7,1200,380,1974-01-01,0,98059,47.4756
7,1230,0,1979-01-01,0,98045,47.4437
8,2460,0,2006-01-01,0,98052,47.7048
8,1460,200,1911-01-01,0,98112,47.6362
7,1270,0,1960-01-01,0,98198,47.4207
10,1320,780,1979-01-01,0,98074,47.6154
5,770,0,1930-01-01,0,98144,47.5964
5,760,0,1936-01-01,0,98070,47.4683
7,1700,0,1988-01-01,0,98031,47.4045
7,1120,0,1954-01-01,0,98106,47.5544
7,1070,0,1937-01-01,0,98115,47.6802
8,1420,650,1979-01-01,0,98023,47.2988
11,4750,300,1982-01-01,2008,98004,47.6312
11,5310,0,1989-01-01,0,98077,47.7285
7,1040,0,1939-01-01,0,98133,47.7107
7,1700,0,1967-01-01,0,98003,47.3271
7,1300,0,1961-01-01,0,98178,47.5053
7,580,500,1954-01-01,2003,98199,47.6601
8,2653,0,2006-01-01,0,98031,47.4145
8,2290,0,1960-01-01,0,98058,47.4672
9,2850,970,2014-01-01,0,98028,47.7618
8,2210,0,1997-01-01,0,98038,47.3828
6,1240,1150,1908-01-01,0,98118,47.5362
7,1610,990,1969-01-01,0,98031,47.3954
6,860,0,1931-01-01,0,98178,47.5048
9,2630,1200,1905-01-01,1994,98122,47.6166
9,3500,0,2005-01-01,0,98053,47.6811
8,1740,680,1988-01-01,0,98028,47.7486
9,2720,0,1992-01-01,0,98030,47.3846
7,1850,650,1979-01-01,0,98072,47.7564
7,1140,530,1980-01-01,0,98034,47.7198
8,1450,1450,1985-01-01,0,98006,47.5461
7,1140,500,1954-01-01,0,98006,47.5712
7,1890,0,1968-01-01,0,98166,47.4281
8,1780,1170,1975-01-01,0,98034,47.7128
9,2160,0,1992-01-01,0,98001,47.3341
8,2270,1010,1986-01-01,0,98056,47.5399
8,1270,700,1929-01-01,0,98126,47.5717
10,3360,0,1994-01-01,0,98075,47.5951
7,1320,0,1993-01-01,0,98042,47.3536
8,2650,0,1990-01-01,0,98059,47.5084
7,1330,700,1963-01-01,0,98108,47.5586
7,1090,500,1957-01-01,0,98188,47.4427
10,2600,1950,2002-01-01,0,98074,47.6053
8,2440,0,1998-01-01,0,98003,47.3494
7,970,970,1948-01-01,0,98117,47.6933
8,2040,0,2006-01-01,0,98038,47.3537
7,1120,1080,1964-01-01,0,98166,47.476
8,960,960,1913-01-01,0,98112,47.6239
8,1400,400,1965-01-01,0,98177,47.7776
8,2180,0,1984-01-01,0,98074,47.6459
6,1010,0,1908-01-01,0,98105,47.6692
8,2220,1100,1960-01-01,0,98056,47.5376
8,1980,390,1928-01-01,0,98144,47.601
